Public,0,2,0,0,0,0,42.1335706,-87.7871752,55686
Public,0,1,0,0,0,0,42.0484631,-87.6792574,55748
Public,0,1,0,0,0,0,41.8873149,-87.8013794,55750
Public,0,2,0,0,0,0,41.5024882,-88.178425,55815
Public,0,1,0,0,0,0,41.8647597,-87.8046193,55845
Public,2,2,0,0,0,0,41.8830009,-87.6342531,56790
Public,2,2,0,0,0,0,41.886048,-87.6316725,56805
Public,3,3,0,0,0,0,41.8863934,-87.620037,56839
Public,2,3,0,0,0,0,41.8995384,-87.6268042,56874
Public,1,1,0,0,0,0,41.8641319,-87.6162033,57210
Public,0,1,0,0,0,0,41.9102278,-87.681258,57599
Public,0,2,0,0,0,0,41.8856574,-88.3431137,58139
Public,0,2,0,0,0,0,41.8935938,-87.632785,58302
Public,0,4,1,0,0,0,42.0615048,-88.0672674,58313
Public,0,2,0,0,0,0,42.03007,-87.678149,58325
Public,0,6,0,0,0,0,41.889367,-87.6302287,58326
Public,0,2,0,0,0,0,41.9012134,-87.6311337,58335
Public,0,2,0,0,0,0,41.9516989,-87.6460687,60055
Public,0,2,0,0,0,0,42.0501714,-87.6851274,60165
Public,0,2,0,0,0,0,41.7639299,-88.1942503,60419
Public,0,4,0,0,0,0,41.8904342,-87.6385482,60531
Public,0,2,0,0,0,0,41.7887204,-87.6050198,60583
Public,0,2,0,0,0,0,41.784474,-87.6045178,60584
Public,0,0,4,0,0,0,41.7606442,-88.3088086,60593
Public - Call ahead,0,1,0,0,0,0,41.7588594,-87.6831642,60987
Private,0,1,0,0,0,0,41.7588594,-87.6831642,60988
Public,0,2,0,0,0,0,42.0639647,-87.6964409,61117
Public,0,2,0,0,0,0,41.9843634,-88.0959771,61153
Public,0,2,0,0,0,0,41.9035571,-88.1201653,61154
Public,0,6,0,0,0,0,41.8802893,-87.6364522,61218
Public,0,2,0,0,0,0,41.8722156,-88.2797613,61424
Public,0,2,0,0,0,0,41.7816663,-87.8675446,61455
Public,0,2,0,0,0,0,42.305444,-87.848865,61492
Public,0,4,0,0,0,0,41.6014124,-87.8882587,61548
Public,0,2,0,0,0,0,42.1112221,-87.7754655,61586
Public,0,2,0,0,0,0,42.1110709,-87.7753609,61587
Public,1,1,0,0,0,0,41.8604711,-87.6100168,61637
Public,0,2,0,0,0,0,41.6052766,-87.6597083,61691
Public,0,2,0,0,0,0,42.0510046,-88.0621394,61714
Public,0,2,0,0,0,0,41.8670081,-88.1413307,61895
Public,4,4,0,0,0,0,42.310704,-87.8352213,62078
Public,0,2,0,0,0,0,42.1497074,-87.788679,62549
Private - Government only,0,1,0,0,0,0,42.3149736,-87.8512357,62675
Public,0,6,0,0,0,0,42.0463368,-87.9735968,62808
Public,0,2,0,0,0,0,42.141096,-87.9826948,62929
Public,0,2,0,0,0,0,41.9505513,-88.0327641,63124
Public,0,2,0,0,0,0,41.7518189,-87.5906131,63126
Public,0,2,0,0,0,0,42.1540918,-87.9615762,63128
Public,0,1,0,0,0,0,41.8703078,-87.6309085,63131
Public,0,2,0,0,0,0,41.8133767,-87.7048637,63133
Public,0,1,0,0,0,0,41.8256161,-87.7978804,63136
Public,0,3,0,0,0,0,41.8698402,-87.6684921,63147
Public,0,1,0,0,0,0,41.8861415,-87.6341576,63150
Public,0,1,0,0,0,0,41.8988266,-87.6195984,63151
Public,0,1,0,0,0,0,41.8808746,-87.6373138,63152
Public,0,2,0,0,0,0,42.0712147,-88.3310272,63200
Public,1,3,0,0,0,0,41.5261634,-87.6405818,63224
Public,0,1,0,0,0,0,42.1292323,-88.1335754,63238
Public,0,4,0,0,0,0,41.8433284,-88.0686417,63247
Public,0,2,0,0,0,0,41.7134622,-87.958501,63420
Public,0,2,0,0,0,0,41.9842884,-87.6606336,63463
Private,0,2,0,0,0,0,41.9316311,-87.952685,63612
Public,0,2,0,0,0,0,42.0382097,-87.8507401,63670
Public,0,2,0,0,0,0,41.8187774,-88.0064971,63671
Public,0,2,0,0,0,0,42.0402238,-88.2850603,63788
Public,0,2,0,0,0,0,41.9087429,-87.6527428,64201
Public,0,2,0,0,0,0,41.9418663,-87.6695462,64244
Public,0,2,0,0,0,0,41.9484893,-87.6498751,64245
Public,0,2,0,0,0,0,41.8950201,-87.6290687,64246
Public,0,1,0,0,0,0,41.8953004,-87.6222675,64272
Public,0,1,0,0,0,0,41.8060295,-88.0502077,64273
Public,0,2,0,0,0,0,42.1017781,-87.7725815,64274
Public,0,2,0,0,0,0,41.9903526,-87.7489513,64275
Public,0,1,0,0,0,0,41.8891457,-87.6181388,64276
Public,0,2,0,0,0,0,41.9811902,-87.6687643,64291
Public,0,1,0,0,0,0,41.9543707,-87.746035,64292
Public,0,1,0,0,0,0,41.9105079,-87.651876,64293
Public,0,2,0,0,0,0,41.8986397,-87.622754,64294
Public,0,2,0,0,0,0,42.0178264,-87.6720072,64324
Public,0,2,0,0,0,0,42.276748,-87.8691912,64327
Public,0,2,0,0,0,0,41.9008497,-87.6245204,64452
Public,0,2,0,0,0,0,42.0421448,-88.0367054,64466
Public,0,2,0,0,0,0,41.8675244,-87.6387876,64467
Public,0,2,0,0,0,0,41.9102433,-87.80647,64469
Public,0,2,0,0,0,0,41.91103,-87.7260638,64470
Public,0,1,0,0,0,0,41.9757,-87.692813,64471
Public,0,0,1,0,0,0,41.579989,-87.598814,64593
Public,0,2,0,0,0,0,41.9124452,-88.3143447,64816
Public,0,4,0,0,0,0,41.8914805,-87.6206514,65015
Public,0,1,0,0,0,0,41.9481843,-87.6641775,65036
Public,0,0,8,0,0,0,41.585206,-87.721114,65094
Private,0,6,0,0,0,0,41.9550975,-88.0416907,65259
Private,0,1,0,0,0,0,42.0704876,-87.9488322,65261
Private,0,1,0,0,0,0,41.729075,-88.367593,65262
Private,0,1,0,0,0,0,41.8987202,-87.9583426,65263
Public,0,1,0,0,0,0,41.9979499,-87.6656012,65309
Public,0,1,0,0,0,0,41.758135,-88.189035,65662
Public,0,1,0,0,0,0,42.1534137,-87.8036458,65697
Public,0,0,1,0,0,0,42.3869571,-88.0000714,65779
Public,0,1,0,0,0,0,41.8864,-87.6314,65945
Public,0,2,0,0,0,0,42.0411755,-87.8877987,66226
Public - Card key at all times,0,1,0,0,0,0,41.8915069,-87.6150303,66345
Public,0,2,0,0,0,0,42.02605,-87.7563796,66589
Public,0,3,0,0,0,0,41.8964474,-87.6232324,66604
Public,0,2,0,0,0,0,41.893991,-87.620784,66720
Public,0,6,0,0,0,0,42.0473281,-87.683127,66736
Public,0,2,0,0,0,0,42.0184064,-88.3234528,66799
Public,0,1,0,0,0,0,41.879463,-88.3084371,66811
Public,0,2,0,0,0,0,42.27783,-88.299684,67047
Public,0,1,0,0,0,0,41.8952787,-87.6219774,67089
Public,0,2,0,0,0,0,42.2985953,-87.9605025,67163
Public,0,2,0,0,0,0,42.3726201,-87.8755854,67185
Private,0,2,0,0,0,0,41.7757783,-88.1427667,67831
Private,0,1,0,0,0,0,41.7698992,-88.1441752,67832
Public,0,2,0,0,0,0,42.13892,-88.034652,67868
Public,0,2,0,0,0,0,41.8874669,-88.3426381,68164
Private,0,1,0,0,0,0,41.714111,-87.964016,68546
Public,0,2,0,0,0,0,41.9012726,-88.1037467,69010
Public,0,2,0,0,0,0,42.258117,-88.368125,69033
Public,0,2,0,0,0,0,42.1030285,-87.9591509,69176
Public,0,4,0,0,0,0,42.0790315,-87.9495261,69183
Public,0,2,0,0,0,0,42.0123099,-87.9975717,69184
